StartDate;EndDate;Status;Progress;Duration (in seconds);Finished;RecordedDate;Q1.1;Q2.1;Q2.2;Q2.3;Q3.1;Q3.2;Q3.3;Q3.4;Q3.5;Q3.6;Q3.7;Q4.1;Q4.2;Q4.3;Q4.4;Q4.5;Q4.6;Q4.7;Q5.1;Q5.2;Q5.3;Q5.4;Q5.5;Q5.6;Q5.7;Q6.1;Q6.2;Q6.3;Q6.4;Q6.5;Q6.6;Q6.7;Q7.1;Q7.2;Q7.3;Q7.4;Q7.5;Q7.6;Q7.7;Q8.1;Q8.2;Q8.3;Q8.4;Q8.5;Q8.6;Q8.7;Q9.1;Q9.2;Q9.3;Q9.4;Q9.5;Q9.6;Q9.7;Q10.1;Q10.2;Q10.3;Q10.4;Q10.5;Q10.6;Q10.7;Q11.1;Q_AmbiguousTextPresent;Q_AmbiguousTextQuestions;Q_StraightliningCount;Q_StraightliningPercentage;Q_StraightliningQuestions;Q_UnansweredPercentage;Q_UnansweredQuestions
2025-05-08 13:37:36;2025-05-08 13:50:00;0;100;744;1;2025-05-08 13:50:01;1;4;4;30;;3;;2;;;;;;1;1;;;;;;;;2;1;;2;;;;3;;;;;;;3;2;;;;1;;;4;;;3;;4;;;;;1;3;;;;;12;0;;0;0;;0;
2025-05-04 14:45:31;2025-05-04 14:47:22;0;18;111;0;2025-05-11 14:47:30;1;6;7;10;;;;;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0;0;;0;
2025-05-04 17:09:47;2025-05-04 17:11:04;0;7;76;0;2025-05-11 17:11:06;1;3;1;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0;0;;0;
2025-05-04 20:47:15;2025-05-04 20:48:09;0;7;53;0;2025-05-11 20:48:10;1;3;5;50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0;0;;0;
2025-05-12 16:07:20;2025-05-12 16:24:08;0;100;1007;1;2025-05-12 16:24:09;1;4;15;35;3;;3;;;;;;;;;1;;2;;1;;;;;2;2;;;;;2;;3;;;;;;1;1;;;;;;2;3;;;;;;3;;;;1;4;;;10;0;;0;0;;0;
2025-05-12 17:29:51;2025-05-12 17:36:05;0;100;374;1;2025-05-12 17:36:06;1;4;5;10;3;3;;;;;;2;;1;;;;;;;;1;;1;;;;;1;;;1;3;;1;;;;;;;1;2;;;;;1;;;;;3;1;;;;;;2;6;0;;0;0;;0;
2025-05-12 16:49:03;2025-05-13 14:44:45;0;100;78942;1;2025-05-13 14:44:46;1;4;3;5;;;;2;;3;;;;;;1;1;;3;;2;;;;;;2;;;3;;;;;1;1;;;;;3;;4;;;;3;;;2;;;;;;4;;;;4;9;0;;0;0;;0;
2025-05-14 13:48:55;2025-05-14 13:56:45;0;100;470;1;2025-05-14 13:56:45;1;3;1;13;;;;;;3;3;;;;4;;1;;;2;;;2;;;;;2;;;2;;;1;;1;;;;;3;;;;2;;;;2;;;2;;;;;1;;2;;10;0;;0;0;;0;
2025-05-14 14:18:04;2025-05-14 14:33:49;0;100;945;1;2025-05-14 14:33:50;1;3;3;7;;;;;;3;4;2;;;;;1;;;;;;;1;1;;2;;;;2;;;;;;;1;3;1;;;;2;;;;;;;3;3;;1;4;;;;;;8;0;;0;0;;0;
2025-05-14 14:36:01;2025-05-14 14:52:58;0;100;1017;1;2025-05-14 14:52:59;1;3;3;20;;2;;2;;;;;2;;4;;;;;;2;1;;;;;;2;;;;4;;;4;;3;;;;;;;2;;2;3;;;;2;;;4;;;;4;;;8;0;;0;0;;0;
2025-05-14 14:39:57;2025-05-14 14:57:54;0;100;1077;1;2025-05-14 14:57:55;1;5;12;18;;;2;;3;;;;;1;;1;;;3;;;;2;;;2;;;1;;;;;;;;3;1;;1;;1;;;;;;;2;2;;;;;;;;4;;4;13;0;;0;0;;0;
2025-05-14 15:31:33;2025-05-14 15:53:23;0;100;1309;1;2025-05-14 15:53:24;1;3;1;4;3;3;;;;;;2;;;;;;3;;;;;2;;2;;;;;3;2;;3;;;;;;1;;;;4;;4;;;3;;;;;3;;;;1;;2;;12;0;;0;0;;0;
2025-05-15 13:23:26;2025-05-15 13:46:06;0;100;1360;1;2025-05-15 13:46:07;1;4;17;20;;;;;3;3;;;2;;;;1;;3;;2;;;;;2;2;;;;;;;;;;;2;1;;3;;;;;2;;;2;2;;;;;1;4;;;;;15;0;;0;0;;0;
2025-05-15 14:29:00;2025-05-15 14:46:59;0;100;1079;1;2025-05-15 14:47:00;1;2;4;10;;;;3;;3;;;;;3;;3;;;2;;;;1;;;;2;1;;;;;;1;;3;;;;;;4;;;2;3;;;;;2;;;;3;;;2;;6;0;;0;0;;0;
2025-05-15 16:18:14;2025-05-15 16:27:36;0;100;561;1;2025-05-15 16:27:36;1;5;8;14;3;;;;;;2;;2;1;;;;;3;;4;;;;;2;;;;3;;;;4;;1;;;;;1;1;;;;;;1;;;3;;;1;;;;;;2;12;0;;0;0;;0;
2025-05-15 16:30:03;2025-05-15 16:44:07;0;100;843;1;2025-05-15 16:44:07;1;3;2;18;;;3;;3;;;2;;;;1;;;;1;;;;;1;;;;;;2;2;3;;;;;1;;;;;;2;2;;;;2;;;;3;;1;;1;;;;15;0;;0;0;;0;
2025-05-06 14:08:35;2025-05-16 16:35:53;0;100;872837;1;2025-05-16 16:35:53;1;5;9;9;3;3;;;;;;;;;1;;;1;;;2;;3;;;;;2;;;;1;;;;1;3;;;;1;;;;2;;;;;2;;;3;1;;;1;;;;16;0;;0;0;;0;
2025-05-16 15:54:39;2025-05-16 16:37:27;0;100;2567;1;2025-05-16 16:37:27;1;3;2;2;;3;;;;1;;;;;;1;;4;;;;1;3;;;;1;;1;;;;2;2;;;;;;1;;;;;;2;;3;;;3;;;;;1;;4;;;7;0;;0;0;;0;
2025-05-16 16:40:07;2025-05-16 16:58:43;0;100;1116;1;2025-05-16 16:58:44;1;4;10;13;;;;2;;;3;;;1;;;1;;;1;;;;;1;2;;;;;2;;;;1;;;;1;1;;1;;;;;3;;;;;2;;;;;;;2;2;12;0;;0;0;;0;
2025-05-16 18:33:46;2025-05-16 18:46:20;0;100;754;1;2025-05-16 18:46:21;1;4;1;3;;;1;;3;;;2;4;;;;;;3;;;;;1;;;;2;;3;;;3;;;;3;;;;;;4;2;;;3;1;;;;;;;1;;;4;;;13;0;;0;0;;0;
2025-05-19 09:27:43;2025-05-19 09:42:59;0;100;916;1;2025-05-19 09:43:00;1;3;1;35;3;;;;;;3;2;;;1;;;;;1;;1;;;;;1;;1;;;;;;;1;;4;;1;;;;;2;;;;;2;;2;;;;;;;2;4;14;0;;0;0;;0;
2025-05-19 10:34:24;2025-05-19 11:54:04;0;100;4779;1;2025-05-19 11:54:04;1;4;4;15;;3;;;3;;;;;1;;3;;;;;;;2;;1;;4;;1;;;;;4;4;;;;;;;;;2;;2;;;;;3;;3;1;;;1;;;;8;0;;0;0;;0;
2025-05-19 13:41:29;2025-05-19 13:57:33;0;100;963;1;2025-05-19 13:57:33;1;4;5;9;;;;2;;3;;;2;;;;;1;3;;;;;1;;;;;;3;3;;;;;1;;;1;;1;1;;;;;3;;2;;;;;;1;1;;;;;15;0;;0;0;;0;
2025-05-19 14:04:03;2025-05-19 14:14:02;0;100;599;1;2025-05-19 14:14:03;1;5;3;4;;3;2;;;;;;;;1;;1;;;;2;1;;;;2;;;;;;2;3;;4;;;;;;;1;4;;;;;3;;2;;;;;;;;4;;4;10;0;;0;0;;0;
2025-05-19 14:13:15;2025-05-19 14:31:24;0;100;1088;1;2025-05-19 14:31:25;1;5;8;11;3;;;;;3;;;2;;;1;;;;1;;;;1;;;;2;;;;1;;4;;;;1;;1;;;;;;2;;;;;1;;3;;;;1;;2;;14;0;;0;0;;0;
2025-05-06 15:23:32;2025-05-06 15:24:38;0;2;66;0;2025-05-20 15:24:46;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0;0;;0;
2025-05-06 18:23:11;2025-05-06 18:23:19;0;2;8;0;2025-05-20 18:23:24;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0;0;;0;
2025-05-06 18:35:36;2025-05-06 18:36:07;0;2;31;0;2025-05-20 18:36:13;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0;0;;0;
2025-05-06 18:38:34;2025-05-06 18:39:09;0;2;35;0;2025-05-20 18:39:10;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0;0;;0;
2025-05-06 20:29:35;2025-05-06 20:36:54;0;64;438;0;2025-05-20 20:36:56;1;6;7;8;;3;;;;3;;;;;1;1;;;;;;1;;;1;2;;;;;;1;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;0;;0;0;;0;
2025-05-06 23:31:38;2025-05-06 23:32:19;0;7;41;0;2025-05-20 23:32:26;1;4;5;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0;0;;0;
2025-05-07 02:14:10;2025-05-07 02:21:21;0;7;430;0;2025-05-21 02:21:28;1;2;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0;0;;0;
2025-05-07 18:29:27;2025-05-07 18:38:20;0;30;532;0;2025-05-21 18:38:26;1;4;4;9;;;;;3;3;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0;0;;0;
2025-05-08 14:22:06;2025-05-08 14:22:52;0;18;45;0;2025-05-22 14:23:00;1;5;5;5;;;;;;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0;0;;0;
2025-05-08 15:21:30;2025-05-08 15:22:53;0;7;82;0;2025-05-22 15:22:53;1;3;2;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0;0;;0;
2025-05-24 08:58:01;2025-05-24 09:20:41;0;100;1360;1;2025-05-24 09:20:42;1;4;5;7;;;;2;;;1;;;1;;;;1;4;;2;;;;;;;;;3;2;;;;;;3;;1;;1;;;2;;;;;2;;;2;;;;3;;3;;;8;0;;0;0;;0;
2025-05-24 19:18:22;2025-05-24 19:35:18;0;100;1015;1;2025-05-24 19:35:18;1;4;4;5;;;2;;3;;;2;;;;;1;;;;;1;;;2;;1;;1;;;;;3;;;;1;;;;;4;;2;;;2;;2;;;;1;2;;;;;;14;0;;0;0;;0;
2025-05-14 13:55:04;2025-05-14 13:56:29;0;7;85;0;2025-05-28 13:56:31;1;4;4;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0;0;;0;
2025-05-14 14:03:55;2025-05-14 14:05:45;0;18;109;0;2025-05-28 14:05:49;1;3;1;8;;;2;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0;0;;0;
2025-05-29 07:05:09;2025-05-29 07:18:14;0;100;784;1;2025-05-29 07:18:15;1;2;1;30;;3;;2;;;;;2;;1;;;;;1;;;2;;;2;;2;;;;;;;;;3;;1;;1;;;;4;;;;2;;;2;;;;;1;;2;;13;0;;0;0;;0;
2025-05-15 12:46:29;2025-05-15 12:48:11;0;18;101;0;2025-05-29 12:48:12;1;2;1;2;;;;2;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0;0;;0;
2025-05-15 13:19:05;2025-05-15 13:24:23;0;52;317;0;2025-05-29 13:24:26;1;4;2;7;3;;2;;;;;;;1;;1;;;;;;1;;1;;;;;;4;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0;0;;0;
2025-05-31 00:08:48;2025-05-31 00:22:27;0;100;819;1;2025-05-31 00:22:28;1;5;7;12;;;;;;3;3;2;;;;1;;;3;;;;;1;;;;;;3;2;;;;1;1;;;;;;;;2;;2;3;;;;;;3;;1;;;;;4;14;0;;0;0;;0;
2025-06-02 13:20:05;2025-06-02 13:54:33;0;100;2067;1;2025-06-02 13:54:33;1;4;20;35;3;;;;3;;;;;1;;;;1;;;;1;4;;;;;2;1;;;;3;;;1;;;;1;;;4;;;;;3;;;3;;;1;;;;4;;;13;0;;0;0;;0;
2025-05-19 14:51:27;2025-05-19 14:51:38;0;2;10;0;2025-06-02 14:51:41;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0;0;;0;
